0.36043,,,,,,,,,,,,,,,,,,,,,
0.40943,0.93699,0.011 ,0.008 ,0.009 ,0.014 ,0.016 ,0.013 ,0.016 ,0.018 ,0.023 ,0.029 ,0.029 ,0.034 ,0.037 ,0.035 ,0.032 ,0.035 ,0.032 ,0.026 ,0.020 ,0.018 
0.58986,0.98082,0.012 ,0.008 ,0.010 ,0.014 ,0.014 ,0.011 ,0.014 ,0.016 ,0.019 ,0.027 ,0.026 ,0.028 ,0.030 ,0.030 ,0.025 ,0.028 ,0.025 ,0.019 ,0.015 ,0.014 
0.65428,0.024658,0.014 ,0.009 ,0.009 ,0.013 ,0.014 ,0.010 ,0.011 ,0.013 ,0.015 ,0.020 ,0.018 ,0.018 ,0.019 ,0.019 ,0.017 ,0.019 ,0.018 ,0.014 ,0.011 ,0.010 
0.81756,0.068493,0.015 ,0.009 ,0.009 ,0.012 ,0.011 ,0.009 ,0.010 ,0.011 ,0.013 ,0.014 ,0.014 ,0.014 ,0.015 ,0.014 ,0.014 ,0.015 ,0.015 ,0.013 ,0.011 ,0.010 
0.94083,0.11233,0.019 ,0.011 ,0.012 ,0.014 ,0.011 ,0.010 ,0.014 ,0.015 ,0.015 ,0.015 ,0.012 ,0.012 ,0.012 ,0.010 ,0.011 ,0.012 ,0.013 ,0.011 ,0.011 ,0.009 
0.90733,0.15616,0.022 ,0.013 ,0.012 ,0.014 ,0.012 ,0.011 ,0.014 ,0.013 ,0.011 ,0.010 ,0.009 ,0.009 ,0.008 ,0.007 ,0.008 ,0.010 ,0.011 ,0.012 ,0.012 ,0.010 
0.66607,0.2,0.019 ,0.011 ,0.008 ,0.009 ,0.008 ,0.007 ,0.007 ,0.007 ,0.006 ,0.004 ,0.006 ,0.005 ,0.004 ,0.003 ,0.005 ,0.005 ,0.007 ,0.010 ,0.011 ,0.008 
0.50766,0.24384,0.020 ,0.014 ,0.010 ,0.010 ,0.009 ,0.009 ,0.008 ,0.008 ,0.007 ,0.004 ,0.006 ,0.004 ,0.003 ,0.003 ,0.006 ,0.004 ,0.007 ,0.010 ,0.013 ,0.010 
0.62964,0.28767,0.025 ,0.023 ,0.017 ,0.015 ,0.015 ,0.016 ,0.013 ,0.012 ,0.009 ,0.005 ,0.007 ,0.005 ,0.004 ,0.003 ,0.007 ,0.005 ,0.009 ,0.014 ,0.018 ,0.014 
0.53106,0.33151,0.030 ,0.026 ,0.018 ,0.013 ,0.010 ,0.012 ,0.010 ,0.010 ,0.007 ,0.003 ,0.005 ,0.003 ,0.002 ,0.002 ,0.004 ,0.003 ,0.005 ,0.009 ,0.015 ,0.012 
0.42479,0.37534,0.031 ,0.033 ,0.023 ,0.018 ,0.014 ,0.017 ,0.013 ,0.011 ,0.007 ,0.003 ,0.005 ,0.003 ,0.002 ,0.001 ,0.004 ,0.003 ,0.005 ,0.012 ,0.018 ,0.015 
0.33259,0.41918,0.031 ,0.031 ,0.021 ,0.017 ,0.013 ,0.016 ,0.013 ,0.011 ,0.007 ,0.003 ,0.005 ,0.003 ,0.002 ,0.002 ,0.005 ,0.004 ,0.006 ,0.012 ,0.017 ,0.013 
-0.0035062,0.46301,0.031 ,0.035 ,0.025 ,0.021 ,0.020 ,0.024 ,0.018 ,0.016 ,0.011 ,0.004 ,0.008 ,0.005 ,0.003 ,0.003 ,0.007 ,0.005 ,0.008 ,0.014 ,0.022 ,0.020 
0.1643,0.50685,0.036 ,0.048 ,0.042 ,0.030 ,0.023 ,0.028 ,0.028 ,0.021 ,0.014 ,0.006 ,0.010 ,0.007 ,0.005 ,0.004 ,0.010 ,0.008 ,0.012 ,0.020 ,0.030 ,0.033 
0.037767,0.55068,0.028 ,0.038 ,0.035 ,0.028 ,0.027 ,0.034 ,0.031 ,0.026 ,0.019 ,0.009 ,0.015 ,0.013 ,0.009 ,0.009 ,0.019 ,0.015 ,0.020 ,0.034 ,0.045 ,0.045 
-0.075684,0.59452,0.024 ,0.030 ,0.028 ,0.025 ,0.029 ,0.032 ,0.030 ,0.026 ,0.021 ,0.013 ,0.021 ,0.020 ,0.015 ,0.015 ,0.024 ,0.021 ,0.023 ,0.030 ,0.033 ,0.034 
-0.10697,0.63836,0.018 ,0.021 ,0.024 ,0.025 ,0.028 ,0.029 ,0.028 ,0.027 ,0.025 ,0.020 ,0.027 ,0.025 ,0.023 ,0.024 ,0.030 ,0.028 ,0.029 ,0.031 ,0.031 ,0.034 
0.22333,0.68219,0.015 ,0.013 ,0.014 ,0.015 ,0.019 ,0.018 ,0.018 ,0.020 ,0.021 ,0.021 ,0.027 ,0.026 ,0.026 ,0.027 ,0.031 ,0.029 ,0.031 ,0.030 ,0.029 ,0.029 
0.027252,0.72603,0.016 ,0.015 ,0.017 ,0.018 ,0.020 ,0.020 ,0.021 ,0.024 ,0.026 ,0.026 ,0.029 ,0.029 ,0.028 ,0.029 ,0.031 ,0.031 ,0.032 ,0.031 ,0.029 ,0.031 
0.10433,0.76986,0.012 ,0.010 ,0.012 ,0.014 ,0.015 ,0.015 ,0.019 ,0.025 ,0.034 ,0.042 ,0.041 ,0.047 ,0.051 ,0.051 ,0.043 ,0.046 ,0.046 ,0.035 ,0.030 ,0.032 
0.39909,0.8137,0.012 ,0.010 ,0.012 ,0.014 ,0.015 ,0.013 ,0.016 ,0.021 ,0.029 ,0.041 ,0.038 ,0.042 ,0.049 ,0.052 ,0.041 ,0.044 ,0.041 ,0.030 ,0.025 ,0.026 
0.58932,0.85753,0.011 ,0.007 ,0.008 ,0.011 ,0.011 ,0.009 ,0.012 ,0.016 ,0.023 ,0.033 ,0.029 ,0.035 ,0.041 ,0.040 ,0.031 ,0.037 ,0.033 ,0.024 ,0.018 ,0.018 
0.53468,0.90137,0.012 ,0.008 ,0.010 ,0.013 ,0.012 ,0.011 ,0.014 ,0.020 ,0.026 ,0.032 ,0.028 ,0.032 ,0.035 ,0.033 ,0.028 ,0.029 ,0.027 ,0.020 ,0.016 ,0.015 
0.69597,0.94521,0.008 ,0.005 ,0.006 ,0.009 ,0.009 ,0.007 ,0.009 ,0.013 ,0.019 ,0.030 ,0.026 ,0.030 ,0.036 ,0.034 ,0.027 ,0.029 ,0.027 ,0.019 ,0.014 ,0.012 
0.54696,0.98904,0.010 ,0.005 ,0.007 ,0.011 ,0.011 ,0.009 ,0.011 ,0.016 ,0.022 ,0.038 ,0.032 ,0.037 ,0.049 ,0.050 ,0.033 ,0.037 ,0.032 ,0.021 ,0.014 ,0.014 
0.91603,0.032877,0.012 ,0.006 ,0.007 ,0.008 ,0.007 ,0.006 ,0.008 ,0.011 ,0.014 ,0.020 ,0.015 ,0.016 ,0.019 ,0.018 ,0.015 ,0.016 ,0.017 ,0.012 ,0.010 ,0.008 
0.77488,0.076712,0.013 ,0.007 ,0.007 ,0.009 ,0.009 ,0.007 ,0.009 ,0.011 ,0.013 ,0.018 ,0.015 ,0.017 ,0.020 ,0.018 ,0.016 ,0.017 ,0.017 ,0.013 ,0.011 ,0.008 
0.82729,0.12055,0.013 ,0.007 ,0.007 ,0.009 ,0.006 ,0.005 ,0.007 ,0.008 ,0.009 ,0.009 ,0.009 ,0.010 ,0.010 ,0.010 ,0.012 ,0.011 ,0.012 ,0.011 ,0.010 ,0.007 
0.54009,0.16438,0.012 ,0.009 ,0.010 ,0.013 ,0.010 ,0.008 ,0.010 ,0.011 ,0.011 ,0.011 ,0.011 ,0.011 ,0.011 ,0.010 ,0.012 ,0.012 ,0.015 ,0.015 ,0.014 ,0.013 
0.79468,0.20822,0.017 ,0.013 ,0.012 ,0.013 ,0.009 ,0.008 ,0.009 ,0.009 ,0.008 ,0.005 ,0.006 ,0.005 ,0.004 ,0.003 ,0.007 ,0.005 ,0.008 ,0.011 ,0.013 ,0.011 
0.69556,0.25205,0.026 ,0.027 ,0.026 ,0.023 ,0.016 ,0.015 ,0.014 ,0.013 ,0.011 ,0.005 ,0.006 ,0.005 ,0.003 ,0.003 ,0.007 ,0.005 ,0.007 ,0.010 ,0.013 ,0.012 
0.35451,0.29589,0.029 ,0.031 ,0.026 ,0.021 ,0.014 ,0.015 ,0.014 ,0.013 ,0.010 ,0.004 ,0.006 ,0.004 ,0.002 ,0.002 ,0.006 ,0.004 ,0.006 ,0.012 ,0.016 ,0.014 
0.41876,0.33973,0.029 ,0.032 ,0.026 ,0.021 ,0.014 ,0.014 ,0.011 ,0.011 ,0.008 ,0.003 ,0.004 ,0.003 ,0.002 ,0.001 ,0.005 ,0.003 ,0.005 ,0.010 ,0.015 ,0.013 
0.24072,0.38356,0.027 ,0.028 ,0.023 ,0.020 ,0.015 ,0.015 ,0.013 ,0.012 ,0.008 ,0.004 ,0.006 ,0.005 ,0.003 ,0.003 ,0.007 ,0.005 ,0.007 ,0.013 ,0.016 ,0.014 
0.23736,0.4274,0.030 ,0.034 ,0.027 ,0.022 ,0.019 ,0.021 ,0.017 ,0.014 ,0.010 ,0.004 ,0.008 ,0.005 ,0.003 ,0.003 ,0.008 ,0.005 ,0.007 ,0.015 ,0.021 ,0.018 
0.10039,0.47123,0.034 ,0.043 ,0.038 ,0.029 ,0.024 ,0.026 ,0.022 ,0.019 ,0.013 ,0.005 ,0.009 ,0.006 ,0.003 ,0.003 ,0.009 ,0.006 ,0.009 ,0.017 ,0.023 ,0.022 
0.048474,0.51507,0.032 ,0.039 ,0.033 ,0.025 ,0.021 ,0.026 ,0.021 ,0.017 ,0.012 ,0.004 ,0.009 ,0.006 ,0.003 ,0.003 ,0.010 ,0.005 ,0.008 ,0.015 ,0.021 ,0.019 
-0.079734,0.5589,0.027 ,0.040 ,0.041 ,0.038 ,0.043 ,0.049 ,0.037 ,0.028 ,0.019 ,0.009 ,0.017 ,0.015 ,0.010 ,0.010 ,0.022 ,0.016 ,0.016 ,0.026 ,0.032 ,0.032 
-0.057804,0.60274,0.024 ,0.037 ,0.046 ,0.044 ,0.043 ,0.046 ,0.043 ,0.035 ,0.028 ,0.017 ,0.021 ,0.020 ,0.016 ,0.016 ,0.024 ,0.021 ,0.023 ,0.030 ,0.034 ,0.041 
-0.13254,0.64658,0.022 ,0.030 ,0.039 ,0.038 ,0.039 ,0.039 ,0.038 ,0.034 ,0.034 ,0.025 ,0.029 ,0.029 ,0.024 ,0.025 ,0.032 ,0.028 ,0.028 ,0.031 ,0.030 ,0.038 
0.27361,0.69041,0.022 ,0.033 ,0.047 ,0.048 ,0.054 ,0.057 ,0.054 ,0.049 ,0.048 ,0.037 ,0.037 ,0.039 ,0.036 ,0.037 ,0.040 ,0.039 ,0.034 ,0.035 ,0.032 ,0.041 
0.23281,0.73425,0.020 ,0.024 ,0.032 ,0.032 ,0.036 ,0.038 ,0.039 ,0.038 ,0.041 ,0.038 ,0.040 ,0.040 ,0.035 ,0.038 ,0.038 ,0.037 ,0.032 ,0.032 ,0.028 ,0.034 
0.42881,0.77808,0.016 ,0.019 ,0.029 ,0.037 ,0.048 ,0.047 ,0.049 ,0.049 ,0.053 ,0.056 ,0.050 ,0.051 ,0.055 ,0.055 ,0.044 ,0.046 ,0.038 ,0.030 ,0.023 ,0.030 
0.21647,0.82192,0.015 ,0.014 ,0.018 ,0.024 ,0.031 ,0.028 ,0.031 ,0.034 ,0.041 ,0.054 ,0.047 ,0.049 ,0.052 ,0.056 ,0.042 ,0.047 ,0.039 ,0.031 ,0.022 ,0.025 
0.6185,0.86575,0.015 ,0.014 ,0.020 ,0.025 ,0.031 ,0.030 ,0.032 ,0.036 ,0.040 ,0.052 ,0.043 ,0.039 ,0.045 ,0.047 ,0.033 ,0.037 ,0.033 ,0.024 ,0.019 ,0.023 
0.66314,0.90959,0.016 ,0.015 ,0.019 ,0.023 ,0.026 ,0.026 ,0.028 ,0.030 ,0.032 ,0.036 ,0.033 ,0.030 ,0.031 ,0.032 ,0.026 ,0.030 ,0.029 ,0.025 ,0.021 ,0.024 
0.66051,0.95342,0.016 ,0.015 ,0.020 ,0.025 ,0.031 ,0.030 ,0.033 ,0.035 ,0.040 ,0.049 ,0.039 ,0.038 ,0.041 ,0.040 ,0.031 ,0.034 ,0.030 ,0.023 ,0.019 ,0.020 
0.67253,0.99726,0.018 ,0.017 ,0.019 ,0.021 ,0.024 ,0.023 ,0.025 ,0.027 ,0.029 ,0.031 ,0.028 ,0.026 ,0.025 ,0.024 ,0.022 ,0.025 ,0.023 ,0.021 ,0.018 ,0.019 
0.64417,0.041096,0.020 ,0.016 ,0.017 ,0.020 ,0.023 ,0.022 ,0.022 ,0.023 ,0.024 ,0.027 ,0.022 ,0.020 ,0.020 ,0.019 ,0.017 ,0.018 ,0.018 ,0.015 ,0.013 ,0.013 
,,0.084932,0.12877,0.1726,0.21644,0.26027,0.30411,0.34795,0.39178,0.43562,0.47945,0.52329,0.56712,0.61096,0.65479,0.69863,0.74247,0.7863,0.83014,0.87397,0.91781
,,0.8608,0.64325,0.5427,0.7653,0.64871,0.5746,0.44694,0.26009,0.15924,0.2547,0.001017,0.17023,0.15722,0.20669,0.11742,0.24029,0.45337,0.34716,0.29243,0.70882
